id;name;taggings_count;kind
197;Programación Neurolingüistica PNL;1;
198;desarrollo personal;2;
199;noche;11;
200;EMT;110;
201;Renfe;22;
202;millenials;1;
203;dignidad;11;
204;Tetuán Parques Obras;1;
205;obras municipales;3;
206;fin de semana;5;
207;Casa de Campo;36;
208;reciclaje;65;
209;Multas;44;
210;qu;1;
211;espacios públicos;15;
212;derechos fundamentales;6;
213;libertades;3;
215;Aravaca;15;
216;Reordenación distritos;1;
217;Sol-Vodafone;1;
218;PuertadelSol;1;
219;Vodafone;2;
220;cultura ocio teatro cine museos;2;
221;cotorras argentinas;1;
222;trabajo;28;
223;industria;3;
224;contaminación.;9;
226;Parking;26;
227;Aquitectura;1;
228;sensibilización;3;
229;concienciacion;2;
230;embellecimiento;3;
231;Río;2;
232;"medio ambiente; suciedad; higiene";3;
233;Administración pública;1;
234;eficiencia;19;
235;papeleos;1;
236;burocracia;2;
237;libertad;12;
238;erte;1;
239;vallecas.;1;
240;planificación urbana;3;
241;Inspección;4;
242;PAU;4;
243;APR de Ópera;1;
244;APR;18;
245;webmaster;4;
246;ocio;86;
247;callejero;19;
248;vecinas;1;
249;memoria;8;
250;ciudadanía;17;
251;mobiliario urbano;139;
252;memoria histórica;78;
253;gente mayor;2;
254;infancia;139;
255;retrones;1;
256;Salarios de los concejales;1;
258;futuro;10;
259;limpieza calles;13;
260;promesas electorales;1;
261;decepción;1;
262;sanchinarro;63;
263;cultura cine;1;
264;eruido nocturno;1;
265;servicios sociales justos;1;
266;remunicipalización;2;
267;externalizacion de servicios.;1;
268;registro;2;
269;policia;5;
270;tecnología;26;
271;derecho;4;
272;principe pio;2;
273;estaciones;3;
274;"Tres olivos; metro";1;
275;carril-bici;9;
276;infraestructuras;10;
277;señalización;182;
278;anillo verde ciclista;3;
279;fuentes;24;
280;infraestructura;3;
281;ibi impuestos vivienda economia fiscalid;1;
282;estacionamiento;17;
283;zona verde;32;
284;vehículos;12;
285;avisos;1;
286;grúa;1;
287;zona de palacio;1;
288;vecinos;14;
289;ruido;96;
290;bares;10;
291;terrazas;27;
292;acerabici;1;
293;carrilbici;7;
294;Estética urbana;6;
295;publicidad.;1;
296;Madrid Río;34;
297;"transporte; seguridad y emergencias; pol";2;
298;municipalizar;1;
299;madrid destino;1;
300;precariedad;2;
301;jóvenes;34;
302;Privatización;3;
303;BiciMad movilidad transporte público;3;
304;Moncloa;24;
305;derechos humanos;30;
306;Historia;56;
307;monumentos;32;
308;ciudad;14;
309;convivencia;44;
310;atasco;7;
311;M40;11;
312;R3;1;
313;Vicalvarada;1;
314;evaluación;3;
315;mejora;11;
316;aprendizaje;1;
317;transformación;3;
318;rendición de cuentas;1;
319;túnel doctor esquerdo pintar;1;
320;calle;18;
321;suelo;3;
322;rio;3;
323;manzares;1;
324;aparcamientos;120;
325;basuras;19;
326;madrugones;1;
327;concesiones;2;
328;musica;10;
329;Calidad democrática y de Gestión Pública;1;
330;¨DEPORTE;2;
331;ENTRETENIMIENTO Y SOCIEDAD¨;1;
332;Psicología;5;
333;S.E.R.;9;
334;Transporte Público.;1;
335;contaminación;172;
336;aire;4;
337;sociedad;7;
338;prostitucion;3;
339;malasaña;23;
340;asesores;3;
341;ChuecaJusticia;1;
342;coches;40;
343;semáforos;31;
344;Propaganda;4;
345;niños;101;
347;fiesta;8;
348;unidad;2;
349;madrileños;2;
350;innovación;13;
351;ayudas innovación;1;
352;sostenible;13;
353;ayudas-innovación;1;
354;ayudas-emprendedores;1;
355;semaforos;7;
356;pintar;2;
358;piscinas;4;
359;abonos;1;
360;Contaminación sonora aérea y estructural;2;
361;contaminación atmosférica;8;
362;calles lazo;2;
363;área de prioridad residencial del barrio;1;
366;I+D+I;4;
367;Ciudad Universitaria;10;
368;emprendedores;15;
369;alquller;1;
371;Arquitectura;38;
372;comercio;43;
373;descuento;2;
375;respeto;32;
377;feminismo;23;
378;futbol;2;
379;festejos;3;
380;software;2;
381;GNULinux;1;
382;Linux;1;
383;software libre;3;
384;internet;17;
385;I+D;4;
386;inversión;4;
387;Restauracion;3;
388;Ventas animales;1;
389;Programación;1;
390;convergencia;1;
391;barrio desfavorecido;1;
392;soterramiento;6;
394;Igualdad;48;
395;Palacio;5;
396;Web;14;
398;formación;31;
399;cursos;9;
400;centros municipales;1;
401;Publicidad Limpieza Mobiliario público;1;
402;madrid rio movilidad bici seguridad;2;
403;CentroTirso;1;
409;tolerancia;6;
411;islam;6;
418;Política General;2;
419;sala de estudio;5;
420;estudio;12;
421;universitarios;6;
422;estudiantes;16;
427;carmena;9;
429;estafa;6;
430;NFC;1;
431;Tecnologia;5;
432;Ahorro;21;
433;Movil;4;
434;Innovacion;4;
441;taxi;26;
442;vih;3;
443;discriminación;4;
444;acera;14;
445;Plataforma;6;
446;menores;13;
447;pymes;2;
448;pequeño empresario;2;
450;Seriedad;1;
453;Estatua;13;
454;sol;16;
456;Medioamiente;2;
457;Ecologismo;11;
458;LGBT;1;
461;iglesias;4;
465;casta;2;
472;el prado;1;
473;reina sofia;1;
474;museo de ciencias naturales;1;
475;museo sorolla;1;
476;museo del ferrocarril;2;
477;actividades;107;
478;talleres;25;
479;museo arqueológico;1;
480;polideportivos;8;
481;ciencia;17;
484;racismo;4;
490;Sirio;2;
493;comunicación;20;
494;bicletas;1;
499;granny;3;
504;Impuestos;54;
507;cataluña;5;
508;corrupción;14;
523;picasso;2;
532;futuro para nuestros hijos;2;
534;infancia mejorada;2;
535;felicidad;5;
541;Maestre;2;
551;electrica;2;
556;gratis;5;
560;chueca;8;
561;gran via;3;
569;Contratación;3;
570;Familiares;2;
571;Ciudadanos;9;
584;reloj;2;
592;wifi;13;
605;refugiados;20;
607;Embajadores;19;
617;elecciones;6;
629;abuso;3;
633;nepotismo;3;
634;corruptos;2;
637;tercera edad;8;
638;derechos;21;
646;limpieza reciclaje;1;
652;parque del oeste;2;
656;prostitución;7;
668;drogas;9;
678;inmigración;15;
681;leyes;4;
683;derechos sociales funcionarios feminismo;2;
687;tabaco;8;
688;humos;4;
695;dinero;5;
708;manuela;2;
717;mujer;17;
727;tiempo;4;
734;sexualidad;3;
736;economia;17;
737;electricidad;2;
744;rajoy;2;
754;dinero público;2;
790;Putas;2;
792;Mujeres;7;
797;España;15;
823;gracias;2;
828;pobres;3;
841;foro;3;
849;luz;8;
864;urgente;3;
866;familia;68;
872;ricos;2;
892;miedo;2;
913;"""WELLCOME REFUGEES"" REFUGIADOS RACISMO S";1;
919;Limpieza viaria;6;
920;Aforo;2;
921;Eventos culturales;2;
922;sostenibilidad.;3;
923;jardines;33;
924;ecología;41;
925;Asfalto;16;
926;Calles;35;
927;calidad de vida;24;
928;Higiene;16;
929;Servicios de limpieza;2;
930;Concienciación ciudadana;2;
931;Ciudad Universitaria Bicis BiciMAD;1;
932;espacio publico;3;
933;Carril Aparcamiento;1;
934;Madrid_RÍo;1;
935;Casa_de_Campo;1;
939;Baños Públicos Metro;1;
940;solidaridad;32;
942;polución;5;
943;bicis;43;
944;sombra;7;
946;meta;1;
948;pintadas;7;
950;Cerro Almodovar;1;
951;HSM;2;
957;sanciones;16;
961;bulevares;3;
962;glorieta bilbao;1;
963;carranza;2;
964;sagasta;2;
965;alberto aguilera;3;
966;calidad vida;1;
967;ciudad sostenible;2;
968;paseos;3;
976;derechos sociales reciclado;1;
977;religión;10;
980;Representación e imagen de nuestras auto;1;
981;arbolado;29;
982;desigualdad;3;
983;peligroso;2;
984;Fumadores;4;
985;comunidades de vecinos;2;
986;atocha;18;
987;ordenanzas.;1;
988;limpieza salud;1;
989;leganes;2;
990;alcorcón;1;
991;getafe;3;
992;running;6;
993;billete;5;
994;estudiante;1;
995;cultura.;3;
998;M30 Diesel sostenibilidad salur cultura;1;
1001;botellon;4;
1002;porro;1;
1003;droga;6;
1004;consumo;10;
1005;liberalizacion;1;
1006;despenalizacion;1;
1007;apoyo a adolescentes en riesgo de exclus;1;
1008;actitud;2;
1013;sanidad;29;
1014;MadridRio;2;
1015;ocio nocturno;6;
1016;circulacion;5;
1017;`Para todos`;1;
1019;medioambiente;30;
1020;alquiler vivienda ayudas jóvenes barrios;1;
1021;tren;12;
1022;gato;2;
1023;felino;1;
1024;gestión;5;
1025;control;1;
1026;ces;2;
1027;ética;3;
1028;bienenestar;1;
1029;colonia;4;
1030;alimentador;2;
1031;veterinario;5;
1032;guías turísticos;2;
1033;patrimonio cultural;10;
1034;guías;2;
1035;visitas guiadas;2;
1036;rutas urbanas;2;
1037;rutas culturales;2;
1038;servicio público;5;
1041;Zapata;2;
1042;naturaleza;18;
1043;Debates;5;
1044;metadebate;1;
1045;acceso;9;
1046;filtros;1;
1047;verificacion;1;
1048;cuentas;1;
1049;votaciones;8;
1050;municipio;1;
1051;distritos;2010;
1052;decide;6;
1057;senado;1;
1058;Carcel;1;
1064;Gobierno Abierto;5;
1065;IBI;17;
1066;WINDOWS PHONE;2;
1067;plástico;3;
1068;parquímetros;12;
1069;telefónicas internet movil;1;
1073;parque del retiro;6;
1075;discotecas;5;
1076;LifeStyle;1;
1077;botellas;2;
1078;reciclar;9;
1081;Energía solar;2;
1082;energía renovable.;1;
1085;EMT marquesinas antimendigos;1;
1086;Seguridad Social;6;
1087;Hogar;3;
1088;Escuelas municipales de musica y danza;1;
1089;pensiones;3;
1090;idiomas;13;
1091;"Ruido"" ""Fiestas populares"" ""Orgullo Gay";1;
1092;Delincuencia;14;
1093;Inmigrantes;2;
1094;#Tetuán#ruido#nocturno#basura#camión#mad;1;
1095;monitores;1;
1096;tiempo libre;4;
1097;colegios;97;
1098;gasto;3;
1099;Simancas;3;
1100;arboles;12;
1101;MejoraGobiernoAbierto;1;
1102;betis;1;
1103;pisha;1;
1104;ruben castro;1;
1105;sevilla;2;
1106;pepe mel;1;
1107;peñas;1;
1108;subvencion;2;
1109;"Derechos"" ""Ciudadania"" ""Prohibiciones";1;
1110;la peseta;1;
1111;nse;1;
1112;memes;1;
1113;Violencia;10;
1115;Méndez Álvaro;6;
1116;Mercamadrid;1;
1117;transportes;22;
1118;intercambiadores;3;
1119;Entrevías;12;
1120;género;4;
1121;PSA;2;
1122;Fábrica;1;
1123;Peugeot;1;
1124;Citroen;1;
1125;ERE;1;
1126;derechos de trabajador;1;
1127;sindicatos;1;
1128;patrimonio;36;
1130;participacion;11;
1131;Bicimadrid;4;
1132;trafico;37;
1133;radares;3;
1134;ayuda;70;
1135;Botellón;11;
1136;Ruido.;1;
1139;Iglesia;5;
1140;Iglesia Católica;2;
1141;laicismo;2;
1145;Decide Madrid;8;
1146;vandalismo;7;
1147;fraude;4;
1148;mercado;5;
1149;determinación;1;
1150;peatonalización;48;
1151;Olavide;2;
1152;Trafalgar;6;
1153;Monumento;10;
1154;Ortografía;1;
1155;Castellano;4;
1156;Lengua;3;
1157;Escritura;1;
1158;Servicios Públicos;12;
1159;catedral;2;
1160;almudena;3;
1163;Barrio de Salamanca;2;
1165;autobus;21;
1166;seguridad ciudadana;7;
1167;Vivienda IBI Fiscalidad;3;
1170;Cáñamo;1;
1171;marihuana;4;
1172;cannabis;3;
1173;productividad;3;
1178;logica;1;
1179;zonas verdes;44;
1180;Justicia;54;
1181;Graffiti;4;
1182;Vandalos;1;
1183;Comercio en Madrid;1;
1184;doble fila;7;
1185;vehículos eléctricos;5;
1186;coches eléctricos;3;
1187;violencia de género;2;
1188;maltrato;10;
1190;MAYORES DE 50;1;
1191;Rita Maestre;3;
1192;windows;1;
1193;apps;1;
1194;mobile;1;
1195;aplicaciones;1;
1196;Moncloa-Aravaca ruido;1;
1197;abono;12;
1200;danza;7;
1204;Alzheimer;3;
1205;democracia;32;
1206;tarjeta inteligente;1;
1208;papel;4;
1209;drogas complutense marihuana cocaina ras;1;
1211;bienestar ciudadano;4;
1212;"Trafico;Zona Azul;Zona Verde";3;
1213;Limpieza Digna;1;
1216;Policía;19;
1217;cesped;2;
1218;verde;16;
1219;riego;1;
1221;patriotismo;2;
1223;puerta de hierro;1;
1228;dignidad humana;1;
1229;voluntariado;10;
1233;Ciudad del abrazo;1;
1234;welcomerefugees;1;
1235;exprópiese;1;
1236;sostenibilidad.BiciMad;1;
1237;nodebb;1;
1238;exodo ejemplo;1;
1239;red;3;
1240;exo.do;2;
1241;markdown;1;
1242;rapidez;2;
1243;Puente Vallecas Numancia;2;
1244;Verano;11;
1245;Playa;2;
1246;Chiringuito;2;
1247;Puente Vallecas;3;
1248;reciclaje limpieza;1;
1249;carriles;2;
1250;via;1;
1251;pan bendito;2;
1253;bernabéu;3;
1254;Limpieza medio ambiente;1;
1255;graffitis;4;
1256;fachadas;5;
1257;memoria historica;6;
1260;"motos en aceras; peatones";1;
1261;discapacidad;39;
1262;injusticias;1;
1263;Servicio de Estacionamiento Regulado;5;
1264;Empleo Industria Paro Desempleo Fabricar;1;
1265;independiente;2;
1266;poblacion;1;
1267;Servicio nocturno;2;
1268;Búho metro;1;
1269;Gran Vía;14;
1270;Castellana;13;
1271;calor;4;
1272;ascensor;6;
1273;ambulancia;2;
1274;¡;1;
1275;Sonia;1;
1276;Selena;1;
1277;Fiestas;9;
1278;Cabezas de Cartel;1;
1279;Fiestuki;1;
1280;reabrir fuentes;1;
1281;restauración;8;
1282;Sanidad y decencia;1;
1283;soria;1;
1284;Museo de Cera;1;
1285;Top 5;1;
1286;Cutre;1;
1287;capital;8;
1288;valdebebas;45;
1289;Distrito Centro;10;
1290;siriosNo;1;
1293;Ruiz- Mateos;1;
1294;Placa;1;
1295;Homenaje;9;
1296;Monorrail;1;
1298;reciclaje limpieza economía ecología sos;1;
1300;agencia para el empleo;2;
1301;competitividad;4;
1302;igualdad de oportunidades;2;
1303;dedo;1;
1304;derecho al descanso;2;
1305;racionalización recursos;1;
1307;política;8;
1308;empleo cotización;1;
1309;VICE;1;
1310;HOT;1;
1317;Manoteras;9;
1318;Rehabilitación de viviendas;1;
1320;recaudación;4;
1325;Radar;3;
1327;gastronomía;3;
1329;cuba;2;
1330;cubanoespañoles;2;
1331;voto rogado;2;
1332;edificios;8;
1333;periferia;2;
1334;nocturo;1;
1337;adolescencia;6;
1338;Salud y Bienestar;2;
1339;La Latina;6;
1340;mercado de la cebada;2;
1343;Sostenibilidad igualdad justicia equidad;1;
1344;libertad democracia sostenibilidad derec;1;
1345;Policía Municipal;6;
1346;Urinarios;12;
1347;Táfico;1;
1349;Arrendamientos;1;
1350;inquilinos;2;
1351;inmobiliaria;1;
1352;Centro cultura musica;1;
1353;empleo licitaciones publico;1;
1354;economía social de proximidad y empleo l;1;
1355;Ley de Memoria Histórica.;1;
1356;"BiciMad; movilidad";2;
1357;Samur;2;
1358;summa;1;
1359;summa112;1;
1360;ambulancias;2;
1361;Parques Intantiles;11;
1362;vida;5;
1363;bienestar;13;
1364;politica;2;
1365;Renovables;2;
1366;impuesto al sol;1;
1368;funcionarios;6;
1369;APRs;1;
1370;ablemosbien;1;
1371;Alimentación;16;
1372;Señora Carmena;1;
1373;siria;4;
1374;adoptar;1;
1375;carne;1;
1376;puntos;1;
1377;casa;1;
1378;embarazadas;1;
1379;programa;1;
1380;refugiado;1;
1381;TUV;1;
1382;ITV;4;
1383;regulador exo.do;1;
1384;Tetuan;10;
1385;atascos;22;
1386;listas abiertas;1;
1389;cultura. Educación;3;
1390;pastafarismo;1;
1391;Centro terrazas ilegales;1;
1392;Conejos;1;
1393;Liebres;1;
1394;Perdices;1;
1395;caza ilegal;1;
1396;movilidad metro;1;
1397;circulación;30;
1398;baches;3;
1401;ovino;2;
1402;caprino;2;
1403;pastoreo;2;
1404;incendios;1;
1405;Parque de la Gavia;4;
1406;foro participación debates;3;
1407;movilidad sostenible;10;
1408;Conexión centro - periferia;2;
1409;nuevos iconos;3;
1410;ciudad lúdica;1;
1411;vistas panorámicas;1;
1412;educación vial;4;
1415;"impuestos;";1;
1416;jazztel;1;
1417;telefonia;2;
1418;ono;1;
1419;plaza;12;
1420;wc;2;
1421;baño;1;
1422;necesidad;2;
1423;albergues;1;
1424;sin techo;5;
1425;me;1;
1427;Cultura Música;3;
1429;lactancia;4;
1430;dar el pecho;1;
1431;maternidad;15;
1432;Lavapies;3;
1434;conciliacion;4;
1435;metrobus;2;
1436;PARQUES Y JARDINES;13;
1438;Homenajes;2;
1439;diversion;1;
1440;hosteleria;3;
1441;vehiculo eléctrico;1;
1442;deuda;6;
1443;Parques.;3;
1444;cerveza;2;
1445;imagen;4;
1446;desempleo;9;
1449;Linea circular;1;
1450;"Barajas; Chamartin;  movilidad;  Fuencar";1;
1451;podemos;18;
1452;animales de compañía;6;
1453;Acceso a la Casa de Campo;1;
1456;viabilidad;1;
1457;UCM;2;
1458;Somosaguas;1;
1459;ceniceros;2;
1460;Patrimonio perdido;3;
1462;convivencia ciudadana;5;
1463;color y alegría;3;
1464;escuelas de música;2;
1465;Mascotas Derechos Limpieza;2;
1467;pabellones;2;
1468;feria;4;
1469;vecinal;3;
1470;salud limpieza respeto convivencia;2;
1471;Línea 5;1;
1472;Pirámides;1;
1473;Puerta de Toledo;1;
1474;Campamento;8;
1475;Ventas;3;
1476;Alameda de Osuna;7;
1477;Nuñez de Balboa;1;
1479;gatos;15;
1484;Kaboom;2;
1485;Recuperación;2;
1486;Duplicidades;2;
1490;sillas de ruedas;4;
1491;servicios;20;
1492;baños;2;
1493;ascensores;7;
1494;carga y descarga;5;
1495;Antonio Palacios;5;
1496;ciencia y tecnología;3;
1499;Paseo del Prado;2;
1500;empresa;7;
1501;movilidad begoña limpieza;1;
1502;plazas;7;
1503;`valores-equipo-de-gobierno´;1;
1504;Formación profesional;1;
1505;segunda república;1;
1507;diseño;7;
1509;Plaza Mayor;6;
1512;toros;12;
1513;cajeros;2;
1514;bancos;14;
1515;obras;12;
1516;Conciliación;15;
1517;horarios;8;
1518;espacio;3;
1519;público;6;
1520;ejemplo;1;
1521;prohibiciones;3;
1522;injusticia;2;
1523;Sin coste;1;
1524;Construcción de espacio público;1;
1525;15M;3;
1526;arte chulapo;1;
1527;Estacionamiento Regulado S.E.R.;2;
1528;monarquía;1;
1529;realeza;1;
1530;cocheras del metro;1;
1531;anillo ciclista;2;
1532;movilidad trafico radares;1;
1533;derechos del peatón;2;
1534;pasos de peatones;31;
1535;amansar el tráfico;1;
1536;autobuses;33;
1537;Reconocimiento;3;
1538;IDOPUQ;1;
1539;biomasa;1;
1540;piscina;18;
1541;`NIÑOS´;5;
1542;okupas;5;
1543;Estacionamiento regulado;7;
1544;INVIERNO;2;
1545;MEJORAS DEPORTE;1;
1546;SOSTENIBILIDAD DERECHOS;1;
1547;movilidad en bicicleta;6;
1548;cercanias;11;
1549;Parque Juan Carlos I;4;
1550;televisión;3;
1551;inspección de trabajo;1;
1552;informática;42;
1553;subcontratas;1;
1554;airbnb;5;
1557;aparcamiento. limpieza. funcionarios;1;
1558;medios transporte;3;
1559;movilidad funcional;1;
1560;sanidad tiendas;1;
1562;certificado;1;
1563;sistemas;5;
1564;papel reciclado;1;
1566;vallekas;2;
1567;Matadero;6;
1568;conciertos;7;
1569;aparcabici;1;
1570;aparcamiento de bicicletas;1;
1571;edificios públicos.;1;
1572;mobiliario urbano.;1;
1575;Real Madrid;2;
1579;Tu puedes!!!;1;
1580;ITE;1;
1581;rehabilitación;12;
1582;costes;4;
1583;asistencia;3;
1584;ayuda necesitados;1;
1585;derecho al trabajo;1;
1587;juegos deportivos municipales;3;
1588;Cibeles;5;
1589;Educación. Cultura. Musica;2;
1590;espacios;3;
1591;auditorio;2;
1592;Centro Acuático;1;
1593;EstacionamientoRegulado;1;
1594;Automóvil;2;
1595;Educación y Participación;3;
1596;Estudios;7;
1597;Bibliotecas municipales;8;
1598;Marqués de Urquijo;1;
1599;Ruiz Giménez;1;
1600;Bilbao;1;
1601;Alonso Martínez;1;
1602;Bellas Vistas-Tetuan;2;
1603;"sostenibilidad; urbanismo";5;
1604;Polideportivo centro La Latina deporte;2;
1605;todos unidos;1;
1606;Arganzuela parques césped;1;
1607;empleo público;5;
1608;Funcionamiento página web;1;
1609;justicia social;2;
1610;ciudad verde;2;
1611;anexión;1;
1612;junta de distrito;2;
1613;participación ciudadana;27;
1614;empadronamiento;3;
1615;residentes;19;
1616;trabajadores;3;
1617;policiía;1;
1618;ambiente;1;
1619;protección;5;
1620;héroes;2;
1621;mejores;1;
1622;seguros;1;
1623;robos;5;
1624;delitos;2;
1625;yanomás mis dies peis;1;
1626;peatón;14;
1627;denuncia;3;
1628;Plaza de España;7;
1629;demolición;1;
1630;especulación;8;
1631;denuncias variable coeficiente;1;
1632;movilidad reducida;8;
1633;movilidad prohibida;2;
1634;Chamartín Campamento Canalejas Plaza Esp;1;
1635;sueldo;4;
1636;contrato;2;
1637;dinero negro;2;
1638;cetrería;1;
1639;palomas;9;
1640;oro;1;
1641;dinero fiat;1;
1642;sintecho;4;
1643;indigentes;3;
1644;vagabundos;2;
1645;frio;2;
1646;dromir;1;
1647;humanidad;4;
1648;Vicente Calderón;1;
1649;despido;1;
1650;malgastar dinero publico;1;
1651;deroche;1;
1652;ineficiencia;1;
1653;sentido comun;11;
1654;gasto publico;2;
1655;gastos publicos;1;
1656;presupuestos;7;
1657;dinero en caja;1;
1658;gastos;1;
1659;Privilegios;3;
1660;gratuidad;1;
1661;Medios de transporte;8;
1662;consultas;1;
1663;perros peligrosos;1;
1664;artesanos;1;
1665;diseñadores;1;
1666;edificios abandonados;1;
1667;madrid centro;3;
1668;seguridad y emergencias - movilidad - de;2;
1669;aeropuerto;18;
1670;tarifas;4;
1671;suplemento;3;
1672;marketing;2;
1673;cerdo;1;
1674;tradiciones;6;
1675;gratuito;3;
1676;sencillo;1;
1677;10 viajes;1;
1678;hijos;4;
1679;gobernanza;1;
1680;eDemocracia;1;
1681;Referemdums;1;
1682;mendicidad;5;
1683;rumanos;6;
1684;asentamientos;1;
1685;gitanos;6;
1686;molestias;6;
1687;probelmas sociales;1;
1688;riqueza;3;
1689;paro;7;
1690;desintegracion social;1;
1691;impagos facturas;1;
1692;impagos hipotecas;1;
1693;impagos creditos;1;
1694;medidas claves;1;
1695;capital extranjero;1;
1696;medidas economicas;1;
1697;inteligencia;6;
1698;inyeccion de capitales;1;
1699;nocturno;7;
1700;160;1;
1701;buho;4;
1702;soluciones eficientes;1;
1703;crecimiento economico;1;
1704;sabiduria;4;
1705;saber hacer;1;
1706;Instituto;5;
1707;enseñanza;2;
1708;calidad;7;
1709;publico;4;
1710;herramienta;1;
1711;Barrio de vallecas;1;
1712;Parquimetros;9;
1713;la paz;2;
1714;barrio 85;2;
1715;barrio 84;2;
1716;Ciudad de los periodistas;2;
1717;Herrera Oria;2;
1718;Libertad de expresión;5;
1719;"cultura;";3;
1720;"equidad;";2;
1721;"economía;";2;
1722;Minusvalía;5;
1723;Barrerar arquitectónicas;1;
1724;Locales;5;
1725;Licencias;7;
1726;Minusvalidos;3;
1727;creatividad;10;
1728;inyeccion de capital extranjero;1;
1729;precios;5;
1730;entrentenimiento;1;
1731;voluntariado social;1;
1732;rebajas economicas;1;
1733;paquetes economicos;1;
1734;beneficios fiscales;1;
1735;ayudas;12;
1736;teatro;10;
1737;MUSICA ROCK;2;
1738;convivencia vecinal;2;
1739;ciudad-refugio;1;
1740;crowdfunding;1;
1741;sexo;1;
1742;Capricho;2;
1743;apicultura urbana;1;
1744;energias renovables;1;
1745;necesidades;2;
1746;libros;15;
1747;pequeño comercio;7;
1748;técnicos;1;
1749;músicos;1;
